Zeit,Kessel,Kessel Soll,Kesseldruck,Abgas,Restsauerstoff,Abgasgebläse,Verbrauch seit Aschebox leeren,Inhalt Pelletsbehälter,Kollektor,Ladezustand,Angeforderte Leistung,Fühler 1 (oben),Fühler 2,Fühler 3,Fühler 4,Fühler 5,Vorlauf,Heizkurve,Vorrat,Außentemperatur,Externe Störmeldung
 17.03.2024 11:33:18,67°C,57°C,"1,87bar",44°C,---,0U/min,1323kg,45kg,78°C,52%,xxx,69°C,69°C,68°C,69°C,41°C,30°C,30°C,2203kg,"8,8°C",
 17.03.2024 11:34:27,67°C,57°C,"1,87bar",44°C,---,0U/min,1323kg,45kg,79°C,52%,xxx,69°C,69°C,68°C,69°C,41°C,27°C,30°C,2203kg,"8,8°C",
 17.03.2024 11:35:37,67°C,57°C,"1,87bar",45°C,---,0U/min,1323kg,45kg,79°C,52%,xxx,69°C,69°C,68°C,69°C,41°C,34°C,30°C,2203kg,"8,8°C",
 17.03.2024 11:36:46,67°C,57°C,"1,87bar",45°C,---,0U/min,1323kg,45kg,78°C,52%,xxx,69°C,69°C,68°C,69°C,41°C,27°C,30°C,2203kg,"8,9°C",
 17.03.2024 11:45:08,67°C,57°C,"1,87bar",44°C,---,0U/min,1323kg,45kg,75°C,52%,xxx,69°C,69°C,68°C,69°C,41°C,27°C,30°C,2203kg,"9,1°C",
 17.03.2024 11:53:47,66°C,57°C,"1,87bar",44°C,---,0U/min,1323kg,45kg,68°C,52%,xxx,69°C,69°C,68°C,69°C,41°C,28°C,30°C,2203kg,"9,1°C",
 17.03.2024 11:53:57,66°C,57°C,"1,87bar",44°C,---,0U/min,1323kg,45kg,69°C,52%,xxx,69°C,69°C,68°C,69°C,41°C,27°C,30°C,2203kg,"9,0°C",
 17.03.2024 11:54:06,66°C,57°C,"1,87bar",44°C,---,0U/min,1323kg,45kg,69°C,52%,xxx,69°C,69°C,68°C,69°C,41°C,27°C,30°C,2203kg,"9,1°C",
 17.03.2024 11:55:13,66°C,57°C,"1,87bar",44°C,---,0U/min,1323kg,45kg,71°C,52%,xxx,69°C,69°C,68°C,69°C,41°C,69°C,37°C,2203kg,"9,1°C",
 17.03.2024 11:56:20,66°C,57°C,"1,87bar",44°C,---,0U/min,1323kg,45kg,73°C,52%,xxx,69°C,69°C,68°C,69°C,41°C,29°C,30°C,2203kg,"9,2°C",
 17.03.2024 12:10:52,66°C,57°C,"1,86bar",43°C,---,0U/min,1323kg,45kg,66°C,52%,xxx,69°C,69°C,68°C,69°C,41°C,69°C,37°C,2203kg
 17.03.2024 12:20:58,66°C,57°C,"1,85bar",43°C,---,0U/min,1323kg,45kg,65°C,51%,xxx,69°C,69°C,68°C,68°C,41°C,27°C,29°C,2203kg,"9,4°C",
 17.03.2024 12:22:08,66°C,57°C,"1,85bar",43°C,---,0U/min,1323kg,45kg,65°C,51%,xxx,69°C,69°C,68°C,68°C,41°C,33°C,29°C,2203kg,"9,4°C",
 17.03.2024 12:23:18,66°C,57°C,"1,85bar",43°C,---,0U/min,1323kg,45kg,65°C,51%,xxx,69°C,69°C,68°C,68°C,41°C,27°C,29°C,2203kg,"9,5°C",
 17.03.2024 12:24:37,65°C,57°C,"1,85bar",43°C,---,0U/min,1323kg,45kg,64°C,51%,xxx,69°C,69°C,68°C,68°C,41°C,31°C,29°C,2203kg,"9,5°C",
 17.03.2024 12:25:46,65°C,57°C,"1,85bar",43°C,---,0U/min,1323kg,45kg,64°C,51%,xxx,69°C,69°C,68°C,68°C,41°C,29°C,29°C,2203kg,"9,5°C",
 17.03.2024 12:26:56,65°C,57°C,"1,85bar",43°C,---,0U/min,1323kg,45kg,64°C,51%,xxx,69°C,69°C,68°C,68°C,41°C,27°C,29°C,2203kg,"9,5°C",
 17.03.2024 12:28:06,65°C,57°C,"1,85bar",43°C,---,0U/min,1323kg,45kg,65°C,51%,xxx,69°C,69°C,68°C,68°C,41°C,32°C,29°C,2203kg,"9,5°C",
 17.03.2024 12:29:16,65°C,57°C,"1,84bar",43°C,---,0U/min,1323kg,45kg,65°C,51%,xxx,69°C,69°C,68°C,67°C,40°C,27°C,29°C,2203kg,"9,6°C",
 17.03.2024 12:30:26,65°C,57°C,"1,84bar",43°C,---,0U/min,1323kg,45kg,64°C,51%,xxx,69°C,69°C,68°C,67°C,40°C,31°C,29°C,2203kg,"9,6°C",
 17.03.2024 12:31:36,65°C,57°C,"1,84bar",43°C,---,0U/min,1323kg,45kg,64°C,51%,xxx,69°C,69°C,68°C,67°C,40°C,29°C,29°C,2203kg,"9,6°C",
 17.03.2024 12:32:46,65°C,57°C,"1,84bar",43°C,---,0U/min,1323kg,45kg,63°C,51%,xxx,69°C,69°C,68°C,67°C,40°C,27°C,29°C,2203kg,"9,6°C",
 17.03.2024 12:33:56,65°C,57°C,"1,84bar",43°C,---,0U/min,1323kg,45kg,64°C,50%,xxx,69°C,69°C,68°C,67°C,40°C,33°C,29°C,2203kg,"9,6°C",
 17.03.2024 12:38:12,65°C,57°C,"1,83bar",43°C,---,0U/min,1323kg,45kg,66°C,50%,xxx,69°C,69°C,68°C,66°C,40°C,27°C,29°C,2203kg,"9,7°C",
 17.03.2024 13:18:45,64°C,57°C,"1,81bar",42°C,---,0U/min,1323kg,45kg,64°C,47%,xxx,69°C,69°C,67°C,63°C,40°C,29°C,29°C,2203kg,"10,7°C",
